from,to,flag
12933623,12932870,1
12932693,12931082,1
12930647,12933948,1
12932206,12934078,1
12930422,12932407,1
12934422,12934393,1
12933937,12934393,1
12930647,12931643,1
12930573,12930590,1
12932787,12932190,1
12932787,12933732,1
12931740,12933190,1
12934422,12934442,1
12930289,12932946,1
12932123,12931082,1
12931740,12933637,1
12931740,12934290,1
12934077,12934526,1
12931082,12932029,1
12934502,12933505,1
12932893,12930590,1
12932020,12930137,1
12932029,12933190,1
12930232,12932946,1
12932020,12934506,1
12934077,12933792,1
12932020,12931358,1
12930647,12933824,1
12934502,12932801,1
12932020,12931249,1
12930573,12933904,1
12932870,12933092,1
12932297,12933541,1
12933204,12933707,1
12933204,12934285,1
12932893,12934393,1
12934502,12931274,1
12932297,12932190,1
12931740,12930550,1
12930573,12933077,1
12930422,12931746,1
12930573,12930712,1
12932031,12932035,1
12934502,12931344,1
12932086,12933732,1
12932296,12934393,1
12931655,12931782,1
12932946,12934461,1
12934502,12931593,1
12931740,12930975,1
12931740,12932308,1
12934077,12931742,1
12931655,12932908,1
12932892,12932870,1
12933937,12933429,1
12931740,12934433,1
12932020,12934259,1
12930422,12933972,1
12932893,12933429,1
12930756,12932801,1
12933661,12932783,1
12933937,12932731,1
12933437,12933429,1
12933190,12933541,1
12932297,12930301,1
12930756,12932173,1
12931843,12931045,1
12930724,12932783,1
12930647,12930485,1
12934077,12932893,1
12934479,12933435,1
12930422,12934372,1
12931358,12931355,1
12934404,12930232,1
12934502,12932000,1
12931658,12932951,1
12930422,12931919,1
12933437,12930590,1
12933204,12933190,1
12931740,12932951,1
12934414,12934285,1
12931740,12932000,1
12932843,12932898,1
12930500,12930515,1
12930289,12932801,1
12933204,12932409,1
12934414,12932783,1
12930794,12931782,1
12933567,12932409,1
12932020,12931355,1
12933937,12932780,1
12933198,12931593,1
12933948,12931894,1
12932020,12930550,1
12932020,12930469,1
12931740,12930518,1
12934502,12932409,1
12933623,12931344,1
12934502,12934517,1
12930422,12934506,1
12934077,12933541,1
12931462,12931472,1
12934404,12933948,1
12932000,12931593,1
12931025,12932946,1
12932892,12932908,1
12932946,12930485,1
12930550,12930574,1
12933204,12931593,1
12932745,12931293,1
12932892,12932528,1
12930526,12932158,1
12930282,12933092,1
12930356,12932946,1
12932020,12931824,1
12930395,12932898,1
12934414,12931593,1
12932296,12932190,1
12932327,12932946,1
12930573,12932000,1
12932020,12931985,1
12930422,12933637,1
12934502,12933948,1
12934077,12931593,1
12930518,12934546,1
12930845,12931894,1
12934414,12931358,1
12930518,12933732,1
12933204,12932305,1
12932517,12932409,1
12934285,12931293,1
12932020,12930968,1
12932031,12933429,1
12934414,12932086,1
12933429,12934285,1
12932851,12932089,1
12930573,12932409,1
12931740,12932035,1
12932693,12931782,1
12934502,12930994,1
12930573,12931602,1
12932297,12930500,1
12932296,12933567,1
12932892,12933435,1
12931793,12932843,1
12931113,12931593,1
12932020,12932238,1
12930422,12930261,1
12932035,12934393,1
12932031,12931293,1
12933204,12933505,1
12933991,12934275,1
12933437,12932898,1
12934404,12930731,1
12934414,12932365,1
12931740,12934372,1
12931843,12930261,1
12932296,12930129,1
12933937,12934081,1
12931740,12930485,1
12930647,12930469,1
12930994,12930232,1
12930847,12930261,1
12932892,12934393,1
12931740,12934506,1
12930647,12934259,1
12932817,12934393,1
12931655,12933111,1
12930573,12932308,1
12933623,12932308,1
12934275,12932946,1
12934414,12932406,1
12933623,12930550,1
12933937,12931050,1
12930537,12932409,1
12930526,12932870,1
12934502,12930469,1
12930647,12932190,1
12930526,12932365,1
12930731,12930590,1
12931820,12930731,1
12934468,12932955,1
12933991,12932860,1
12931358,12934506,1
12932440,12931782,1
12930182,12933948,1
12932693,12933948,1
12931603,12931782,1
12931740,12931375,1
12931593,12931602,1
12932020,12931330,1
12930647,12931036,1
12931740,12930750,1
12932693,12933291,1
12932808,12931782,1
12934404,12932365,1
12932296,12934285,1
12931036,12931050,1
12930845,12931516,1
12930469,12931050,1
12933200,12931082,1
12932297,12934285,1
12930422,12933732,1
12931655,12931088,1
12930422,12934422,1
12930647,12932886,1
12930474,12933505,1
12932297,12932365,1
12933204,12932908,1
12930573,12931643,1
12930573,12931746,1
12932783,12932251,1
12932893,12932801,1
12930537,12932908,1
12930647,12930550,1
12932018,12933429,1
12934393,12934285,1
12934502,12931045,1
12930422,12934359,1
12933198,12933190,1
12932035,12930515,1
12933437,12931045,1
12930573,12932305,1
12933948,12932066,1
12933623,12934526,1
12930794,12931293,1
12933200,12932946,1
12933198,12930396,1
12934502,12932305,1
12931045,12931113,1
12932946,12932406,1
12934159,12932409,1
12933437,12932951,1
12933937,12932190,1
12931462,12930515,1
12933623,12934517,1
12931877,12931516,1
12933948,12932308,1
12930422,12930469,1
12934502,12931355,1
12930510,12934517,1
12933429,12930712,1
12932035,12932870,1
12932091,12933111,1
12932886,12932843,1
12933450,12933512,1
12930731,12930847,1
12931358,12934508,1
12932020,12931375,1
12930422,12932691,1
12931740,12932213,1
12930282,12930396,1
12932745,12932843,1
12932296,12932365,1
12933450,12932409,1
12931746,12931119,1
12930580,12934275,1
12930422,12933956,1
12933204,12932091,1
12931843,12932951,1
12931358,12931375,1
12934502,12933637,1
12931658,12931593,1
12932893,12932946,1
12930289,12933193,1
12932946,12933504,1
12931740,12934066,1
12932000,12932190,1
12934502,12931643,1
12932517,12932731,1
12930282,12931593,1
12934077,12934008,1
12934061,12932407,1
12934502,12932251,1
12931655,12930731,1
12932296,12932898,1
12932297,12932870,1
12930232,12934422,1
12934442,12934393,1
12934414,12932731,1
12932029,12930232,1
12934502,12931348,1
12930518,12931516,1
12933294,12930261,1
12932946,12934422,1
12931740,12930137,1
12930422,12931818,1
12930422,12932777,1
12934203,12932946,1
12930422,12932772,1
12931740,12931643,1
12930422,12932213,1
12930655,12930712,1
12931740,12932086,1
12933623,12932375,1
12933567,12932843,1
12932297,12933637,1
12931985,12933647,1
12932020,12934433,1
12931740,12932166,1
12934414,12930356,1
12934414,12934442,1
12932326,12934461,1
12933948,12932075,1
12930422,12933460,1
12932128,12932409,1
12930422,12931602,1
12933937,12931602,1
12933948,12933972,1
12932584,12931516,1
12934502,12931824,1
12933198,12932190,1
12932645,12933190,1
12932297,12930129,1
12931603,12932908,1
12930356,12930655,1
12931740,12930500,1
12931462,12930395,1
12930647,12930165,1
12933429,12933506,1
12931344,12933190,1
12933623,12931919,1
12932086,12930712,1
12933450,12932946,1
12930422,12930731,1
12932893,12931985,1
12932843,12933661,1
12932020,12932886,1
12934486,12931782,1
12930756,12933053,1
12930422,12933647,1
12932128,12932528,1
12934502,12932086,1
12933623,12932946,1
12932327,12930550,1
12932584,12930261,1
12932297,12932745,1
12932296,12933435,1
12932020,12932870,1
12931740,12932123,1
12930573,12932375,1
12930422,12931985,1
12934502,12931163,1
12934414,12932898,1
12930573,12930500,1
12930573,12931113,1
12933435,12931985,1
12930647,12934526,1
12933062,12933707,1
12930182,12931462,1
12934414,12930129,1
12930573,12930655,1
12933504,12933506,1
12933198,12930712,1
12933200,12934433,1
12931163,12932843,1
12932296,12931036,1
12931740,12931919,1
12932000,12933190,1
12934414,12932089,1
12934414,12933567,1
12933784,12934277,1
12932020,12932801,1
12932020,12932777,1
12932035,12930712,1
12931850,12932946,1
12930301,12930712,1
12933435,12932898,1
12934502,12934290,1
12933784,12932075,1
12934414,12932918,1
12930474,12930847,1
12934203,12931629,1
12934517,12930515,1
12933435,12934326,1
12932780,12933629,1
12933937,12932860,1
12933450,12934259,1
12934502,12930968,1
12930847,12933190,1
12933198,12932946,1
12931740,12931503,1
12931740,12933540,1
12931344,12933948,1
12930422,12930590,1
12934061,12930847,1
12931025,12930771,1
12930422,12933792,1
12930573,12934433,1
12932296,12931082,1
12932695,12934517,1
12932893,12931593,1
12934543,12932327,1
12932407,12932128,1
12932900,12930712,1
12930289,12932955,1
12930573,12930975,1
12930474,12932946,1
12933380,12930574,1
12930422,12930771,1
12930282,12930574,1
12932946,12932089,1
12932528,12931119,1
12930422,12934517,1
12932851,12932843,1
12932983,12934517,1
12932296,12930712,1
12931330,12933190,1
12930647,12932375,1
12934404,12931082,1
12932872,12932870,1
12933164,12932955,1
12931738,12933193,1
12932296,12932624,1
12930395,12932002,1
12932326,12933429,1
12932882,12930731,1
12930422,12930137,1
12933164,12930574,1
12933784,12930129,1
12931050,12934259,1
12930422,12932123,1
12933623,12934461,1
12930422,12932128,1
12930647,12930500,1
12933429,12930396,1
12934414,12931797,1
12930422,12933512,1
12930282,12932086,1
12930422,12932801,1
12930573,12931483,1
12933062,12933824,1
12932693,12931344,1
12932817,12933429,1
12931740,12932066,1
12933623,12932128,1
12932297,12934264,1
12932470,12931293,1
12933904,12931593,1
12930647,12931483,1
12930164,12930574,1
12930948,12931045,1
12932123,12931462,1
12933948,12930195,1
12932128,12934461,1
12933623,12930590,1
12931655,12930301,1
12932072,12930232,1
12930731,12933505,1
12934479,12933190,1
12931025,12932908,1
12934159,12934517,1
12932297,12933435,1
12931820,12931782,1
12932870,12934393,1
12931036,12930515,1
12934077,12933190,1
12931850,12932528,1
12934159,12930550,1
12934502,12932816,1
12931631,12931746,1
12933198,12930443,1
12932296,12931375,1
12931740,12931483,1
12930573,12933972,1
12931820,12931593,1
12932327,12931293,1
12932297,12931082,1
12934502,12930550,1
12930647,12932870,1
12930573,12932772,1
12932296,12932731,1
12930647,12933504,1
12930281,12934538,1
12931655,12933291,1
12933198,12930232,1
12932664,12932797,1
12934133,12932955,1
12933429,12933190,1
12930968,12933190,1
12931782,12934461,1
12931820,12934488,1
12931985,12930515,1
12932681,12933429,1
12932900,12933077,1
12930526,12932816,1
12933437,12931088,1
12934372,12934461,1
12932296,12930356,1
12931740,12933804,1
12930422,12932066,1
12932653,12931782,1
12932296,12934442,1
12931462,12931746,1
12933937,12931330,1
12932297,12931348,1
12931843,12930847,1
12931820,12931516,1
12930422,12932599,1
12934061,12931818,1
12931894,12930396,1
12930164,12932783,1
12931820,12930301,1
12932018,12932955,1
12934502,12930485,1
12933937,12932173,1
12932681,12933707,1
12933380,12931782,1
12933948,12932777,1
12932892,12931462,1
12934275,12933876,1
12933204,12930731,1
12930395,12931985,1
12931985,12933190,1
12930573,12933824,1
12932844,12932843,1
12930574,12933505,1
12934486,12932407,1
12933380,12930396,1
12930500,12932843,1
12930573,12934546,1
12930580,12933193,1
12930395,12930712,1
12930282,12931503,1
12930289,12933429,1
12931593,12930515,1
12934502,12932664,1
12933784,12932002,1
12932123,12934433,1
12930474,12932409,1
12931738,12934546,1
12931740,12932664,1
12931603,12930232,1
12934159,12933903,1
12932020,12934275,1
12930573,12933903,1
12932898,12934461,1
12932297,12931516,1
12932893,12933190,1
12932681,12932955,1
12933204,12931293,1
12932020,12934264,1
12932035,12932801,1
12931631,12931050,1
12932893,12932908,1
12934488,12930515,1
12932296,12930660,1
12930770,12930771,1
12933937,12932664,1
12933623,12932407,1
12933647,12934461,1
12931877,12931894,1
12933904,12933291,1
12932882,12932908,1
12932892,12933429,1
12930573,12930469,1
12934061,12934506,1
12931358,12934326,1
12931740,12933460,1
12934414,12932173,1
12933046,12930574,1
12932296,12934506,1
12934414,12932190,1
12932584,12931894,1
12931740,12933732,1
12932238,12930195,1
12930526,12933077,1
12930518,12931824,1
12931593,12932918,1
12934502,12933541,1
12931593,12932946,1
12934433,12932029,1
12932892,12932123,1
12932653,12931593,1
12932375,12930515,1
12930616,12934066,1
12932296,12933111,1
12930422,12934066,1
12931658,12930515,1
12933164,12931782,1
12934404,12930129,1
12933204,12930232,1
12934061,12930485,1
12931740,12932029,1
12931740,12930655,1
12931742,12932190,1
12933623,12931602,1
12933062,12931742,1
12932872,12933190,1
12933198,12933948,1
12931780,12930731,1
12932653,12933707,1
12931462,12931293,1
12931050,12931358,1
12932296,12933291,1
12933441,12932745,1
12934326,12934461,1
12930182,12932327,1
12932946,12932783,1
12932983,12932955,1
12934404,12931462,1
12930537,12934081,1
12931593,12932624,1
12932440,12931602,1
12930422,12933541,1
12934414,12934264,1
12932440,12931593,1
12933623,12930574,1
12933972,12930232,1
12930526,12932035,1
12934414,12932528,1
12932296,12930731,1
12931031,12933435,1
12932296,12931516,1
12932020,12931742,1
12930471,12932955,1
12931629,12934461,1
12930537,12934508,1
12932440,12932066,1
12932645,12933429,1
12930282,12934461,1
12930422,12931797,1
12931348,12931818,1
12931797,12932801,1
12934061,12933077,1
12930573,12933732,1
12930413,12930847,1
12930301,12930396,1
12934414,12932072,1
12931503,12934517,1
12932018,12934517,1
12932206,12932251,1
12934159,12932035,1
