from,to,flag
1738,56945,1
1738,23760,1
1738,9798,1
1738,5432,1
1738,6279,1
1738,5917,1
1738,11140,1
1738,26517,1
1738,1152,1
1738,1176,1
1738,1892,1
1738,310,1
1738,10240,1
1738,7818,1
1738,54931,1
1738,1967,1
1738,4522,1
1738,2079,1
1738,51765,1
1738,10155,1
1738,6642,1
1738,10920,1
1738,8539,1
1738,7295,1
1738,5631,1
1738,7965,1
1738,1460,1
1738,4666,1
1738,8766,1
1738,28992,1
1738,27335,1
1738,9547,1
1738,5757,1
1738,27338,1
1738,4794,1
1738,115098,1
1738,4282,1
1738,4735,1
1738,7533,1
1738,3376,1
1738,2237,1
1738,87,1
1738,372,1
1738,4809,1
1738,94239,1
1738,6643,1
1738,4673,1
1738,4722,1
1738,11047,1
1738,6155,1
1738,9775,1
1738,5216,1
1738,5217,1
1738,81,1
1738,2194,1
1738,2091,1
1738,1994,1
1738,160287,1
1738,10849,1
1738,4173,1
1738,9221,1
1738,30968,1
1738,11052,1
1738,1653,1
1738,3728,1
1738,27288,1
1738,5705,1
1738,2332,1
1738,5878,1
1738,4736,1
1738,2027,1
1738,2107,1
1738,8663,1
1738,25814,1
1738,7520,1
1738,27339,1
1738,2193,1
1738,1736,1
1738,1832,1
1738,5496,1
1738,9416,1
1738,8664,1
1738,7168,1
1738,51593,1
1738,1495,1
1738,27044,1
1738,60496,1
1738,9255,1
1738,29920,1
1738,60488,1
1738,2618,1
1738,11171,1
1738,5756,1
1738,8892,1
1738,5411,1
1738,1479,1
1738,1025,1
1738,9555,1
1738,5710,1
1738,2584,1
1738,4144,1
1738,3301,1
1738,5605,1
1738,4172,1
1738,4175,1
1738,6605,1
1738,8471,1
1738,3308,1
1738,7919,1
1738,10808,1
1738,989,1
1738,26156,1
1738,11198,1
1738,5709,1
1738,10938,1
1738,9898,1
1738,23367,1
1738,5610,1
1738,51520,1
1738,9131,1
1738,54815,1
1738,8661,1
1738,5859,1
1738,1981,1
1738,55250,1
1738,1823,1
1738,56829,1
1738,9774,1
1738,9967,1
1738,9126,1
1738,1314,1
1738,3069,1
1738,22985,1
1743,10211,1
1743,8878,1
1743,26097,1
1743,55505,1
1743,7157,1
1743,5478,1
1743,2319,1
1743,5216,1
1743,1152,1
1743,10970,1
1743,7150,1
1743,55651,1
1743,94239,1
1743,3295,1
1743,2923,1
1743,9416,1
1743,9939,1
1743,10284,1
1743,51602,1
1743,8971,1
1743,2091,1
1743,10528,1
1743,509,1
1743,128866,1
1743,94081,1
1743,7184,1
1743,7531,1
1743,1736,1
1743,871,1
1743,3005,1
1743,54927,1
1743,8407,1
1743,81876,1
1743,4191,1
1743,4000,1
1743,5878,1
1743,10576,1
1743,4001,1
1743,10989,1
1743,79886,1
1743,4809,1
1743,1674,1
1743,3013,1
1743,3028,1
1743,10130,1
1743,55210,1
1743,144983,1
1743,5906,1
1743,302,1
1743,27288,1
1743,983,1
1743,6182,1
1743,5223,1
1743,2010,1
1743,30968,1
1743,5411,1
1743,5861,1
1743,1984,1
1743,7879,1
1743,9532,1
1743,7317,1
1743,9555,1
1743,1938,1
1743,8091,1
1743,23597,1
1743,27243,1
1743,7345,1
1743,6156,1
1743,7153,1
1743,5162,1
1743,79784,1
1743,84950,1
1743,51639,1
1743,84284,1
1743,2109,1
1743,387,1
1743,64963,1
1743,4632,1
1743,51373,1
1743,5902,1
1743,5630,1
1743,3315,1
1743,2950,1
1743,1936,1
1743,7167,1
1743,3105,1
1743,3615,1
1743,7417,1
1743,292,1
1743,7385,1
1743,5110,1
1743,8887,1
1743,50809,1
1743,4646,1
1743,10971,1
1743,7534,1
1743,653505,1
1743,6624,1
1743,10155,1
1743,3945,1
1743,27339,1
1743,10935,1
1743,3189,1
1743,1627,1
1743,1832,1
1743,293,1
1743,27044,1
1743,6184,1
1743,10921,1
1743,5704,1
1743,539,1
1743,29920,1
1743,5868,1
1743,10574,1
1743,1937,1
1743,4642,1
1743,5339,1
1743,8943,1
1743,10131,1
1743,821,1
1743,55684,1
1743,2547,1
1743,7532,1
1743,9118,1
1743,3837,1
1743,4430,1
1743,63931,1
1743,4673,1
1743,4629,1
1743,8227,1
1743,56993,1
1743,38,1
1743,830,1
1743,10015,1
1743,9761,1
1743,4942,1
1743,51069,1
1743,9524,1
1743,2934,1
1743,23603,1
1743,6433,1
1743,9967,1
1743,81855,1
1743,740,1
1743,26973,1
1743,2194,1
1743,7112,1
1743,22818,1
1743,5936,1
1743,6294,1
1743,55692,1
1743,3799,1
1743,5518,1
1743,6890,1
1743,1659,1
1743,6185,1
1743,10606,1
1743,1737,1
1743,54433,1
1743,2027,1
1743,9984,1
1743,51503,1
1743,400506,1
1743,6238,1
1743,24148,1
1743,7171,1
1743,2058,1
1743,5356,1
1743,10111,1
1743,8467,1
1743,22985,1
1743,26354,1
1743,57661,1
1743,84450,1
1743,7168,1
1743,138046,1
1743,10916,1
1743,3930,1
1743,6730,1
1743,2332,1
1743,10102,1
1743,29117,1
1743,57505,1
1743,399687,1
1743,57486,1
1743,55506,1
1743,6598,1
1743,3608,1
1743,9188,1
1743,57530,1
1743,1981,1
1743,9775,1
1743,219293,1
1743,84263,1
1743,86,1
1743,5700,1
1743,10525,1
1743,487,1
1743,1615,1
1743,2618,1
1743,5610,1
1743,1829,1
